"date","rconm_1","rconm_2","rconm_3","rconm_r","rcongm_1","rcongm_2","rcongm_3","rcongm_r","rcondm_1","rcondm_2","rcondm_3","rcondm_r","rconndm_1","rconndm_2","rconndm_3","rconndm_r","rconsm_1","rconsm_2","rconsm_3","rconsm_r","rconshhm_1","rconshhm_2","rconshhm_3","rconshhm_r","rconsnpm_1","rconsnpm_2","rconsnpm_3","rconsnpm_r","rconhhm_1","rconhhm_2","rconhhm_3","rconhhm_r","ncongm_1","ncongm_2","ncongm_3","ncongm_r","nconshhm_1","nconshhm_2","nconshhm_3","nconshhm_r","nconsnpm_1","nconsnpm_2","nconsnpm_3","nconsnpm_r","nconhhm_1","nconhhm_2","nconhhm_3","nconhhm_r","pcongm_1","pcongm_2","pcongm_3","pcongm_r","pconshhm_1","pconshhm_2","pconshhm_3","pconshhm_r","pconsnpm_1","pconsnpm_2","pconsnpm_3","pconsnpm_r","pconhhm_1","pconhhm_2","pconhhm_3","pconhhm_r","pcpi_1","pcpi_2","pcpi_3","pcpi_r","pcpix_1","pcpix_2","pcpix_3","pcpix_r","pppi_1","pppi_2","pppi_3","pppi_r","pppix_1","pppix_2","pppix_3","pppix_r","employ_level_1","employ_level_2","employ_level_3","employ_level_r","employ_pct_chg_1","employ_pct_chg_2","employ_pct_chg_3","employ_pct_chg_r","h_1","h_2","h_3","h_r","hg_1","hg_2","hg_3","hg_r","hs_1","hs_2","hs_3","hs_r","ipt_1","ipt_2","ipt_3","ipt_r","ipm_1","ipm_2","ipm_3","ipm_r","cut_1","cut_2","cut_3","cut_r","cum_1","cum_2","cum_3","cum_r","hstarts_1","hstarts_2","hstarts_3","hstarts_r"
"1962:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.964,-3.9307,-4.895,0,-2.9542,-6.7525,-7.6884,-4.7516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962:11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2.0304,3.0623,4.6414,0,3.0519,2.0235,10.2044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1962:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0088,-2.9713,-4.903,0,4.0776,-1.9834,-3.9275,4.9475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.9949,-1.9966,-1.9966,9.4422,-2.9664,-2.9689,-4.899,4.9272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0373,5.1646,6.2264,14.3484,2.0304,7.2791,4.095,10.0339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5264,11.6228,11.5516,9.2601,10.4804,13.8277,13.7305,9.9507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4564,12.5391,12.5391,9.1893,19.3694,13.5753,12.474,15.1312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5049,16.8499,20.285,13.9595,13.4237,17.8904,22.5054,9.7488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1099,12.2099,12.1995,4.4192,13.2416,10.0171,12.1277,4.7329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9458,7.9103,6.8855,-4.2322,6.863,5.8473,3.8643,-4.519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.2113,-8.2113,-6.4419,4.4192,-8.1802,-8.1926,-6.4271,4.7329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9596,0.9581,0.9588,13.7466,1.923,1.9199,1.923,9.6315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1963:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8798,7.9038,7.9103,4.355,7.8714,9.9425,9.9425,14.6397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
